change_order_id,project_id,date,category,approved_amount,status
CO-00001,PRJ-0001,2022-11-30,other,68840.85,approved
CO-00002,PRJ-0002,2024-02-10,client_request,0.0,pending
CO-00003,PRJ-0002,2023-12-10,design_error,481946.18,approved
CO-00004,PRJ-0003,2027-03-20,other,424312.03,approved
CO-00005,PRJ-0003,2025-09-20,design_error,52869.38,approved
CO-00006,PRJ-0003,2027-12-20,regulatory,174214.7,approved
CO-00007,PRJ-0003,2026-11-20,scope_change,0.0,rejected
CO-00008,PRJ-0004,2022-11-15,design_error,0.0,pending
CO-00009,PRJ-0005,2023-08-15,scope_change,72004.07,approved
CO-00010,PRJ-0005,2022-11-15,client_request,3168.79,approved
CO-00011,PRJ-0006,2023-03-01,client_request,11549.04,approved
CO-00012,PRJ-0006,2023-03-01,scope_change,101259.73,approved
CO-00013,PRJ-0006,2022-11-01,regulatory,0.0,rejected
CO-00014,PRJ-0007,2023-06-09,regulatory,0.0,pending
CO-00015,PRJ-0007,2024-03-09,design_error,420544.95,approved
CO-00016,PRJ-0007,2024-04-09,scope_change,0.0,pending
CO-00017,PRJ-0008,2023-10-05,site_condition,303552.08,approved
CO-00018,PRJ-0008,2022-05-05,site_condition,195301.5,approved
CO-00019,PRJ-0008,2023-06-05,scope_change,335142.54,approved
CO-00020,PRJ-0008,2023-08-05,scope_change,218209.33,approved
CO-00021,PRJ-0009,2022-06-04,design_error,0.0,pending
CO-00022,PRJ-0009,2022-07-04,regulatory,1276714.03,approved
CO-00023,PRJ-0009,2022-12-04,site_condition,1595522.78,approved
CO-00024,PRJ-0010,2023-11-05,design_error,260867.59,approved
CO-00025,PRJ-0010,2023-12-05,client_request,171084.66,approved
CO-00026,PRJ-0011,2021-09-22,design_error,84495.42,approved
CO-00027,PRJ-0012,2024-08-18,other,49842.3,approved
CO-00028,PRJ-0012,2023-12-18,scope_change,0.0,pending
CO-00029,PRJ-0012,2024-02-18,site_condition,315254.67,approved
CO-00030,PRJ-0012,2023-03-18,site_condition,188037.29,approved
CO-00031,PRJ-0013,2021-08-02,scope_change,249971.34,approved
CO-00032,PRJ-0013,2021-08-02,scope_change,346972.17,approved
CO-00033,PRJ-0013,2021-07-02,site_condition,445856.74,approved
CO-00034,PRJ-0013,2022-11-02,scope_change,407641.23,approved
CO-00035,PRJ-0014,2023-02-21,scope_change,129558.65,approved
CO-00036,PRJ-0014,2022-10-21,other,49723.63,approved
CO-00037,PRJ-0014,2023-07-21,scope_change,129259.42,approved
CO-00038,PRJ-0015,2026-02-22,client_request,129454.81,approved
CO-00039,PRJ-0015,2026-01-22,design_error,157163.87,approved
CO-00040,PRJ-0016,2024-06-21,other,2297232.87,approved
CO-00041,PRJ-0016,2024-01-21,scope_change,0.0,pending
CO-00042,PRJ-0017,2023-01-12,scope_change,2004695.24,approved
CO-00043,PRJ-0017,2023-02-12,scope_change,0.0,pending
CO-00044,PRJ-0017,2023-09-12,client_request,0.0,rejected
CO-00045,PRJ-0018,2023-04-03,scope_change,1113254.54,approved
CO-00046,PRJ-0019,2022-09-27,client_request,99280.03,approved
CO-00047,PRJ-0019,2022-07-27,site_condition,973533.07,approved
CO-00048,PRJ-0019,2022-03-27,design_error,434378.55,approved
CO-00049,PRJ-0019,2024-02-27,design_error,172771.92,approved
CO-00050,PRJ-0019,2022-03-27,scope_change,157759.0,approved
