reference_month,index_name,index_value
2020-12-31,INCC-DEMO,100.0
2021-01-31,INCC-DEMO,100.57499999999999
2021-02-28,INCC-DEMO,101.20852575747843
2021-03-31,INCC-DEMO,101.86638117490203
2021-04-30,INCC-DEMO,102.50804139161012
2021-05-31,INCC-DEMO,103.09746262961187
2021-06-30,INCC-DEMO,103.61294994275991
2021-07-31,INCC-DEMO,104.05330498001665
2021-08-31,INCC-DEMO,104.4384022967261
2021-09-30,INCC-DEMO,104.80393670476464
2021-10-31,INCC-DEMO,105.19181208088405
2021-11-30,INCC-DEMO,105.63887728222781
2021-12-31,INCC-DEMO,106.16707166863894
2022-01-31,INCC-DEMO,106.7775323307336
2022-02-28,INCC-DEMO,107.45012807571501
2022-03-31,INCC-DEMO,108.14855390820716
2022-04-30,INCC-DEMO,108.82978577034879
2022-05-31,INCC-DEMO,109.45555703852828
2022-06-30,INCC-DEMO,110.00283482372092
2022-07-31,INCC-DEMO,110.47034687172174
2022-08-31,INCC-DEMO,110.87919341594667
2022-09-30,INCC-DEMO,111.26727059290249
2022-10-31,INCC-DEMO,111.67906652145219
2022-11-30,INCC-DEMO,112.15370255416836
2022-12-31,INCC-DEMO,112.7144710669392
2023-01-31,INCC-DEMO,113.36257927557409
2023-02-28,INCC-DEMO,114.07665448218873
2023-03-31,INCC-DEMO,114.81815273632294
2023-04-30,INCC-DEMO,115.54139665563244
2023-05-31,INCC-DEMO,116.20575968640232
2023-06-30,INCC-DEMO,116.78678848483432
2023-07-31,INCC-DEMO,117.28313233589488
2023-08-31,INCC-DEMO,117.7171927395169
2023-09-30,INCC-DEMO,118.12920291410522
2023-10-31,INCC-DEMO,118.56639459269711
2023-11-30,INCC-DEMO,119.07030176971608
2023-12-31,INCC-DEMO,119.66565327856465
2024-01-31,INCC-DEMO,120.35373078491638
2024-02-29,INCC-DEMO,121.11184352129092
2024-03-31,INCC-DEMO,121.8990705041793
2024-04-30,INCC-DEMO,122.6669173943317
2024-05-31,INCC-DEMO,123.3722521693491
2024-06-30,INCC-DEMO,123.98911343019583
2024-07-31,INCC-DEMO,124.51606716227417
2024-08-31,INCC-DEMO,124.97689638207275
2024-09-30,INCC-DEMO,125.41431551941001
2024-10-31,INCC-DEMO,125.87846912215
2024-11-30,INCC-DEMO,126.41345261591914
2024-12-31,INCC-DEMO,127.04551987899872
2025-01-31,INCC-DEMO,127.77603161830295
2025-02-28,INCC-DEMO,128.5808977104588
2025-03-31,INCC-DEMO,129.41667354557677
2025-04-30,INCC-DEMO,130.23187410375027
2025-05-31,INCC-DEMO,130.98070737984682
2025-06-30,INCC-DEMO,131.63561091674603
2025-07-31,INCC-DEMO,132.1950622631422
2025-08-31,INCC-DEMO,132.6843111511958
2025-09-30,INCC-DEMO,133.14870624022498
2025-10-31,INCC-DEMO,133.64148452829852
2025-11-30,INCC-DEMO,134.2094608375438
2025-12-31,INCC-DEMO,134.8805081417315
