project_id,snapshot_date,planned_progress,actual_progress,planned_cost,actual_cost,committed_cost,earned_value,forecast_cost
PRJ-0001,2021-01-31,0.0013,0.0207,14234.9,219952.09,243247.84,221069.69,10618021.81
PRJ-0001,2021-02-28,0.0053,0.0419,56863.65,471247.85,521159.06,447402.96,11240749.09
PRJ-0001,2021-03-31,0.012,0.063,127658.8,685900.58,758546.28,672600.88,10882996.09
PRJ-0001,2021-04-30,0.0212,0.0848,226242.63,991519.8,1096534.5,905143.65,11690379.59
PRJ-0001,2021-05-31,0.033,0.1064,352089.16,1152268.16,1274308.18,1136000.83,10824794.04
PRJ-0001,2021-06-30,0.0473,0.1281,504526.94,1444388.04,1597367.32,1366806.72,11277725.22
PRJ-0001,2021-07-31,0.064,0.1508,682742.65,1670648.02,1847591.14,1609190.73,11079551.19
PRJ-0001,2021-08-31,0.083,0.1735,885785.43,2124974.14,2350036.24,1851868.92,12245827.5
PRJ-0001,2021-09-30,0.1043,0.1968,1112571.95,2215623.08,2450286.07,2100298.96,11257954.63
PRJ-0001,2021-10-31,0.1276,0.2206,1361892.23,2592382.78,2866949.47,2354601.34,11749691.69
PRJ-0001,2021-11-30,0.153,0.2416,1632416.01,2799115.31,3095577.64,2577899.08,11587763.12
PRJ-0001,2021-12-31,0.1802,0.2636,1922699.95,3026222.09,3346737.94,2812728.71,11482003.64
PRJ-0001,2022-01-31,0.2091,0.2866,2231195.24,3381100.57,3739202.62,3058064.41,11799298.56
PRJ-0001,2022-02-28,0.2395,0.3087,2556255.95,3616452.32,3999481.15,3294056.78,11716459.45
PRJ-0001,2022-03-31,0.2714,0.3308,2896147.72,3999486.01,4423083.03,3530385.15,12090014.58
PRJ-0001,2022-04-30,0.3044,0.3539,3249057.08,4141430.06,4580060.78,3776796.41,11702306.99
PRJ-0001,2022-05-31,0.3386,0.3771,3613101.12,4615961.2,5104850.87,4024008.66,12241875.89
PRJ-0001,2022-06-30,0.3735,0.398,3986337.5,4906554.69,5426221.95,4247670.56,12327373.28
PRJ-0001,2022-07-31,0.4092,0.42,4366774.84,5209817.66,5761604.38,4482073.13,12404758.56
PRJ-0001,2022-08-31,0.4453,0.4421,4752383.34,5501786.13,6084496.07,4717574.95,12445995.11
PRJ-0001,2022-09-30,0.4817,0.4639,5141105.62,6009279.01,6645738.97,4950787.74,12953668.9
PRJ-0001,2022-10-31,0.5183,0.4874,5530867.68,6299342.58,6966524.01,5201294.47,12924939.42
PRJ-0001,2022-11-30,0.5547,0.51,5919589.96,6382498.55,7058487.26,5443152.35,12513677.68
PRJ-0001,2022-12-31,0.5908,0.5334,6305198.46,6748536.4,7463293.23,5692267.59,12652286.48
PRJ-0001,2023-01-31,0.6265,0.5563,6685635.8,7106590.75,7859270.14,5937282.65,12773747.03
PRJ-0001,2023-02-28,0.6614,0.5801,7058872.18,7530336.5,8327896.02,6190718.43,12981296.26
PRJ-0001,2023-03-31,0.6956,0.6016,7422916.22,8080511.98,8936342.16,6420704.11,13430771.24
PRJ-0001,2023-04-30,0.7286,0.625,7775825.58,8488441.99,9387477.21,6670005.98,13581461.04
PRJ-0001,2023-05-31,0.7605,0.649,8115717.35,8751053.44,9677902.59,6926637.89,13482877.28
PRJ-0001,2023-06-30,0.7909,0.6721,8440778.06,8844365.77,9781097.89,7172294.25,13159922.34
PRJ-0001,2023-07-31,0.8198,0.6949,8749273.35,9438375.25,10438020.62,7416406.78,13581521.58
PRJ-0001,2023-08-31,0.847,0.7186,9039557.29,10273962.46,11362107.26,7669027.52,14296917.4
PRJ-0001,2023-09-30,0.8724,0.7415,9310081.07,10013466.48,11074021.4,7913281.9,13504314.42
PRJ-0001,2023-10-31,0.8957,0.7647,9559401.35,10214988.7,11296887.43,8160601.23,13358585.19
PRJ-0001,2023-11-30,0.917,0.7867,9786187.87,11532871.54,12754351.01,8396150.8,14658919.31
PRJ-0001,2023-12-31,0.936,0.8105,9989230.65,11153236.95,12334508.24,8649617.08,13760961.42
PRJ-0001,2024-01-31,0.9527,0.8336,10167446.36,11710207.91,12950469.59,8896366.07,14047423.99
PRJ-0001,2024-02-29,0.967,0.8574,10319884.14,12564446.88,13895183.45,9150554.72,14653476.84
PRJ-0001,2024-03-31,0.9788,0.8803,10445730.67,12657273.59,13997841.7,9394384.32,14378599.09
PRJ-0001,2024-04-30,0.988,0.9043,10544314.5,13624389.59,15067387.73,9650660.56,15066235.2
PRJ-0001,2024-05-31,0.9947,0.9276,10615109.65,13728936.33,15183007.31,9899183.84,14800699.15
PRJ-0001,2024-06-30,0.9987,0.9513,10657738.4,14093437.93,15586114.33,10152745.21,14814199.53
PRJ-0001,2024-07-31,1.0,0.9745,10671973.3,14041416.53,15528583.19,10399582.54,14409195.91
PRJ-0001,2024-08-31,1.0,0.9977,10671973.3,15091599.51,16689994.06,10646921.53,15127109.43
PRJ-0001,2024-09-30,1.0,1.0,10671973.3,15404123.9,17035618.81,10671973.3,15404123.9
PRJ-0002,2021-03-31,0.0013,0.0255,31291.46,525381.98,564223.87,599098.74,20572776.48
PRJ-0002,2021-04-30,0.0053,0.0511,124998.88,1052362.22,1130164.16,1198794.27,20593811.59
PRJ-0002,2021-05-31,0.012,0.0777,280622.29,1655233.37,1777606.03,1822078.22,21311222.35
PRJ-0002,2021-06-30,0.0212,0.1016,497331.38,2190841.84,2352812.44,2383918.58,21559354.44
PRJ-0002,2021-07-31,0.033,0.1262,773969.9,2726493.5,2928065.23,2959978.49,21608870.0
PRJ-0002,2021-08-31,0.0473,0.1513,1109061.88,3123022.55,3353909.99,3548319.11,20647553.28
PRJ-0002,2021-09-30,0.064,0.1773,1500819.45,3732961.18,4008941.84,4159557.49,21053411.92
PRJ-0002,2021-10-31,0.083,0.2038,1947152.41,4386911.3,4711238.99,4779873.58,21530721.75
PRJ-0002,2021-11-30,0.1043,0.2275,2445679.39,4769222.83,5121815.1,5337655.16,20961060.25
PRJ-0002,2021-12-31,0.1276,0.2511,2993740.52,5503377.01,5910245.86,5891295.02,21914655.07
PRJ-0002,2022-01-31,0.153,0.2763,3588411.67,6001609.93,6445313.52,6482770.92,21718170.35
PRJ-0002,2022-02-28,0.1802,0.301,4226520.01,6737821.2,7235953.44,7061839.94,22382972.29
PRJ-0002,2022-03-31,0.2091,0.3258,4904660.95,6992783.1,7509764.88,7643088.59,21463340.21
PRJ-0002,2022-04-30,0.2395,0.3506,5619216.32,7881416.22,8464095.31,8224071.97,22481925.6
PRJ-0002,2022-05-31,0.2714,0.3744,6366373.65,8460155.14,9085620.84,8783541.18,22595649.54
PRJ-0002,2022-06-30,0.3044,0.3994,7142146.54,8838843.66,9492306.1,9369081.29,22131690.61
PRJ-0002,2022-07-31,0.3386,0.4235,7942395.91,9965722.33,10702495.76,9934329.29,23533492.11
PRJ-0002,2022-08-31,0.3735,0.4484,8762852.07,10276635.67,11036395.16,10518784.64,22919310.15
PRJ-0002,2022-09-30,0.4092,0.4735,9599137.54,10852237.94,11654552.15,11106874.63,22921528.91
PRJ-0002,2022-10-31,0.4453,0.4973,10446790.37,11210977.54,12039813.64,11666748.9,22542899.61
PRJ-0002,2022-11-30,0.4817,0.5235,11301287.98,11695728.68,12560402.8,12280611.68,22342071.18
PRJ-0002,2022-12-31,0.5183,0.5481,12158071.23,12408221.52,13325570.78,12857346.63,22639890.97
PRJ-0002,2023-01-31,0.5547,0.5713,13012568.84,13439745.92,14433356.56,13402422.68,23524689.14
PRJ-0002,2023-02-28,0.5908,0.594,13860221.67,13209386.51,14185966.51,13934293.99,22238926.74
PRJ-0002,2023-03-31,0.6265,0.6194,14696507.14,14265680.46,15320353.07,14531491.48,23030239.03
PRJ-0002,2023-04-30,0.6614,0.6439,15516963.3,15578384.08,16730105.87,15105132.79,24194352.55
PRJ-0002,2023-05-31,0.6956,0.6681,16317212.67,15104548.96,16221239.76,15672204.51,22609648.79
PRJ-0002,2023-06-30,0.7286,0.6924,17092985.56,16554797.04,17778705.77,16244247.5,23907843.7
PRJ-0002,2023-07-31,0.7605,0.7155,17840142.89,16462927.52,17680044.27,16784596.39,23009771.66
PRJ-0002,2023-08-31,0.7909,0.7397,18554698.26,18301056.48,19654067.51,17351803.65,24742733.75
PRJ-0002,2023-09-30,0.8198,0.7632,19232839.2,18740624.34,20126132.95,17904261.64,24555217.47
PRJ-0002,2023-10-31,0.847,0.7873,19870947.54,18770028.54,20157711.03,18468921.94,23841827.01
PRJ-0002,2023-11-30,0.8724,0.8111,20465618.69,19176428.73,20594156.7,19026733.45,23643928.75
PRJ-0002,2023-12-31,0.8957,0.8352,21013679.82,20286810.08,21786629.38,19593301.97,24289707.04
PRJ-0002,2024-01-31,0.917,0.859,21512206.8,20133765.6,21622270.2,20151965.66,23438172.11
PRJ-0002,2024-02-29,0.936,0.8827,21958539.76,22583153.07,24252742.76,20706467.67,25585546.92
PRJ-0002,2024-03-31,0.9527,0.9059,22350297.33,22962808.81,24660466.74,21252642.31,25347096.73
PRJ-0002,2024-04-30,0.967,0.9287,22685389.31,23414481.32,25145531.74,21786701.88,25212110.17
PRJ-0002,2024-05-31,0.9788,0.9513,22962027.83,24171099.17,25958086.92,22316952.11,25408420.25
PRJ-0002,2024-06-30,0.988,0.9743,23178736.92,25149594.34,27008922.99,22855501.61,25814063.41
PRJ-0002,2024-07-31,0.9947,0.9985,23334360.33,24451680.34,26259411.66,23425292.66,24487239.53
PRJ-0002,2024-08-31,0.9987,1.0,23428067.75,25864026.26,27776173.39,23459359.21,25864026.26
PRJ-0003,2025-07-31,0.0024,0.0259,23273.58,228205.55,246349.16,250005.16,8823673.48
PRJ-0003,2025-08-31,0.0096,0.0516,92870.17,439871.8,474844.06,499066.23,8520010.47
