supplier_id,supplier_category,project_id,contract_value,delivery_delay_days,quality_score,rework_cost
SUP-0161,other,PRJ-0001,22961.07,-16,8.71,0.0
SUP-0355,facade,PRJ-0001,821256.8,-19,7.4,0.0
SUP-0023,mep,PRJ-0001,1685433.82,13,5.85,15799.91
SUP-0238,other,PRJ-0001,337985.97,-16,8.5,0.0
SUP-0057,structural,PRJ-0001,87249.55,12,7.85,0.0
SUP-0204,structural,PRJ-0001,468603.65,-8,6.66,1656.22
SUP-0070,other,PRJ-0001,374644.78,-1,6.82,386.05
SUP-0221,earthworks,PRJ-0001,776331.21,-6,7.76,0.0
SUP-0387,mep,PRJ-0001,479956.97,-1,7.24,0.0
SUP-0213,finishes,PRJ-0001,376600.73,-6,7.48,0.0
SUP-0033,facade,PRJ-0001,822344.12,1,6.36,5391.85
SUP-0362,facade,PRJ-0002,740123.69,30,6.12,9733.88
SUP-0381,finishes,PRJ-0002,4225499.84,1,7.65,0.0
SUP-0005,facade,PRJ-0002,358828.21,-12,6.47,1076.88
SUP-0098,other,PRJ-0002,2233899.62,20,6.15,27098.52
SUP-0127,structural,PRJ-0002,594028.87,-9,8.53,0.0
SUP-0204,structural,PRJ-0002,442021.85,-7,7.19,0.0
SUP-0238,other,PRJ-0002,3216905.68,12,7.56,0.0
SUP-0347,earthworks,PRJ-0002,86128.0,-7,8.85,0.0
SUP-0394,mep,PRJ-0002,2253597.45,11,5.96,17419.78
SUP-0201,facade,PRJ-0002,164586.74,-10,8.43,0.0
SUP-0082,facade,PRJ-0003,113128.75,10,8.82,0.0
SUP-0365,structural,PRJ-0003,88350.46,-23,8.62,0.0
SUP-0204,structural,PRJ-0003,920486.07,6,8.93,0.0
SUP-0139,general_contractor,PRJ-0003,509799.2,-4,8.32,0.0
SUP-0089,facade,PRJ-0003,1783742.48,5,7.07,0.0
SUP-0137,earthworks,PRJ-0003,73466.13,-6,8.46,0.0
SUP-0135,mep,PRJ-0003,2606441.87,5,7.32,0.0
SUP-0326,earthworks,PRJ-0003,137194.21,-5,8.79,0.0
SUP-0290,finishes,PRJ-0004,1548791.72,11,6.16,16053.07
SUP-0098,other,PRJ-0004,425786.33,-5,7.87,0.0
SUP-0354,earthworks,PRJ-0004,4323248.73,9,6.51,12032.16
SUP-0219,mep,PRJ-0004,5888625.76,8,6.23,36970.54
SUP-0264,facade,PRJ-0004,8662939.84,2,8.13,0.0
SUP-0225,structural,PRJ-0004,379930.32,8,6.77,438.13
SUP-0238,other,PRJ-0004,362077.84,-2,7.66,0.0
SUP-0245,other,PRJ-0005,246406.57,-3,7.4,0.0
SUP-0322,other,PRJ-0005,1371739.14,-1,5.64,11478.84
SUP-0157,finishes,PRJ-0005,508752.82,10,5.3,8614.95
SUP-0232,structural,PRJ-0005,99861.53,-2,5.43,873.51
SUP-0121,mep,PRJ-0005,369241.17,22,6.5,2473.18
SUP-0126,other,PRJ-0005,482797.35,5,5.83,3041.65
SUP-0180,facade,PRJ-0005,107602.34,4,7.3,0.0
SUP-0238,other,PRJ-0005,707415.19,5,6.8,1417.07
SUP-0296,mep,PRJ-0005,436314.25,7,6.81,732.94
SUP-0323,structural,PRJ-0006,2336649.29,-9,10.0,0.0
SUP-0286,general_contractor,PRJ-0006,1194957.94,-17,9.18,0.0
SUP-0252,other,PRJ-0006,78533.19,1,6.37,746.14
SUP-0204,structural,PRJ-0006,221480.33,-24,8.44,0.0
SUP-0311,finishes,PRJ-0007,2303750.62,-1,8.92,0.0
SUP-0213,finishes,PRJ-0007,1490794.19,-9,9.46,0.0
SUP-0199,finishes,PRJ-0007,9780681.56,-5,8.72,0.0
SUP-0337,structural,PRJ-0008,858056.19,-18,8.67,0.0
SUP-0018,earthworks,PRJ-0008,4800501.51,1,7.56,0.0
SUP-0254,mep,PRJ-0008,199054.66,11,7.31,0.0
SUP-0020,general_contractor,PRJ-0008,4681575.01,7,7.6,0.0
SUP-0365,structural,PRJ-0008,618541.5,-12,7.77,0.0
SUP-0191,mep,PRJ-0008,335644.72,-20,7.64,0.0
SUP-0137,earthworks,PRJ-0008,986963.97,2,8.67,0.0
SUP-0077,other,PRJ-0008,1471554.35,4,8.23,0.0
SUP-0258,general_contractor,PRJ-0008,3237237.34,-1,9.23,0.0
SUP-0177,mep,PRJ-0009,175189.81,-6,8.37,0.0
SUP-0112,other,PRJ-0009,322281.44,3,6.98,74.15
SUP-0307,general_contractor,PRJ-0009,4705748.11,4,7.91,0.0
SUP-0268,mep,PRJ-0009,108338.42,-19,7.1,0.0
SUP-0213,finishes,PRJ-0009,692740.89,18,7.88,0.0
SUP-0238,other,PRJ-0009,75116.48,3,7.63,0.0
SUP-0245,other,PRJ-0009,3528431.01,7,9.22,0.0
