project_id,work_package_id,work_package_name,budget,actual_cost,planned_progress,actual_progress
PRJ-0001,WP-001,Site Preparation,106073.55,110947.35,1.0,1.0
PRJ-0001,WP-002,Earthworks,2527404.07,2365034.77,1.0,0.9142
PRJ-0001,WP-003,Foundations,201629.06,210399.11,1.0,0.9338
PRJ-0001,WP-004,Structure,171320.99,173053.08,1.0,1.0
PRJ-0001,WP-005,Masonry,152864.75,142693.64,1.0,1.0
PRJ-0001,WP-006,Roofing,61303.95,63909.85,1.0,0.9952
PRJ-0001,WP-007,Waterproofing,109518.89,104513.78,1.0,1.0
PRJ-0001,WP-008,Facade,117962.02,131299.55,1.0,1.0
PRJ-0001,WP-009,Electrical,5382.28,5314.51,1.0,1.0
PRJ-0001,WP-010,Plumbing,469484.38,465739.67,1.0,1.0
PRJ-0001,WP-011,HVAC,1047561.28,1027422.18,1.0,0.9676
PRJ-0001,WP-012,Fire Safety Systems,547660.61,532103.91,1.0,1.0
PRJ-0001,WP-013,Elevators,564618.94,568459.34,1.0,0.8963
PRJ-0001,WP-014,Interior Finishes,16777.56,17049.81,1.0,1.0
PRJ-0001,WP-015,Painting,191840.51,193850.19,1.0,0.9752
PRJ-0001,WP-016,Landscaping,301757.38,274557.41,1.0,0.8814
PRJ-0001,WP-017,Utilities Connection,114642.62,114557.25,1.0,1.0
PRJ-0001,WP-018,Commissioning,154354.12,132970.44,1.0,0.9993
PRJ-0001,WP-019,Final Cleaning,392364.69,381352.24,1.0,1.0
PRJ-0001,WP-020,Demolition,3145.55,3143.09,1.0,1.0
PRJ-0001,WP-021,Site Preparation (2),980331.29,1084083.76,1.0,0.9666
PRJ-0001,WP-022,Earthworks (2),432081.21,410115.12,1.0,1.0
PRJ-0001,WP-023,Foundations (2),293472.58,302371.75,1.0,0.9965
PRJ-0001,WP-024,Structure (2),28950.13,27149.03,1.0,1.0
PRJ-0001,WP-025,Masonry (2),175571.54,187538.35,1.0,1.0
PRJ-0001,WP-026,Roofing (2),701756.26,709387.23,1.0,1.0
PRJ-0001,WP-027,Waterproofing (2),331246.26,342358.95,1.0,0.9396
PRJ-0001,WP-028,Facade (2),470896.85,449751.02,1.0,1.0
PRJ-0002,WP-001,Site Preparation,330031.15,304733.24,0.9987,0.999
PRJ-0002,WP-002,Earthworks,672502.05,630405.58,0.9987,0.9627
PRJ-0002,WP-003,Foundations,212043.45,199001.89,0.9987,1.0
PRJ-0002,WP-004,Structure,646374.77,634344.85,0.9987,0.9834
PRJ-0002,WP-005,Masonry,4211120.45,3615223.73,0.9987,1.0
PRJ-0002,WP-006,Roofing,1677005.51,1436661.92,0.9987,0.9964
PRJ-0002,WP-007,Waterproofing,557330.13,512943.41,0.9987,1.0
PRJ-0002,WP-008,Facade,759884.98,715073.78,0.9987,0.9574
PRJ-0002,WP-009,Electrical,89453.83,72125.97,0.9987,1.0
PRJ-0002,WP-010,Plumbing,324168.16,278568.45,0.9987,1.0
PRJ-0002,WP-011,HVAC,1848134.29,1643580.67,0.9987,0.9281
PRJ-0002,WP-012,Fire Safety Systems,880531.34,764258.7,0.9987,0.9991
PRJ-0002,WP-013,Elevators,498681.42,468985.86,0.9987,0.9455
PRJ-0002,WP-014,Interior Finishes,3782834.88,3352621.44,0.9987,0.9321
PRJ-0002,WP-015,Painting,55650.5,49662.59,0.9987,0.9868
PRJ-0002,WP-016,Landscaping,1499500.05,1335842.63,0.9987,1.0
PRJ-0002,WP-017,Utilities Connection,1400692.97,1185219.13,0.9987,0.9644
PRJ-0002,WP-018,Commissioning,11948.1,9943.26,0.9987,0.989
PRJ-0002,WP-019,Final Cleaning,2050861.02,1611921.06,0.9987,0.9707
PRJ-0002,WP-020,Demolition,647164.34,645139.84,0.9987,1.0
PRJ-0002,WP-021,Site Preparation (2),687891.51,589910.78,0.9987,1.0
PRJ-0002,WP-022,Earthworks (2),4860.72,4201.81,0.9987,1.0
PRJ-0002,WP-023,Foundations (2),610693.59,546759.16,0.9987,1.0
PRJ-0003,WP-001,Site Preparation,288929.97,277879.7,0.0843,0.0487
PRJ-0003,WP-002,Earthworks,116983.89,94515.6,0.0843,0.1561
PRJ-0003,WP-003,Foundations,11569.81,10764.44,0.0843,0.159
PRJ-0003,WP-004,Structure,78277.66,72022.49,0.0843,0.3046
PRJ-0003,WP-005,Masonry,21778.68,20279.61,0.0843,0.173
PRJ-0003,WP-006,Roofing,35706.55,29273.51,0.0843,0.221
PRJ-0003,WP-007,Waterproofing,231773.98,192494.42,0.0843,0.1353
PRJ-0003,WP-008,Facade,440437.51,398871.64,0.0843,0.0479
PRJ-0003,WP-009,Electrical,2805.06,2526.13,0.0843,0.1582
PRJ-0003,WP-010,Plumbing,96165.71,81793.43,0.0843,0.2464
PRJ-0003,WP-011,HVAC,15390.61,13117.58,0.0843,0.2101
PRJ-0003,WP-012,Fire Safety Systems,89337.41,80124.73,0.0843,0.2208
PRJ-0003,WP-013,Elevators,44437.59,39773.47,0.0843,0.2136
PRJ-0003,WP-014,Interior Finishes,185920.26,157461.26,0.0843,0.1762
PRJ-0003,WP-015,Painting,56792.25,57185.79,0.0843,0.2113
PRJ-0003,WP-016,Landscaping,59416.19,51818.22,0.0843,0.1917
PRJ-0003,WP-017,Utilities Connection,143699.84,125891.28,0.0843,0.1809
PRJ-0003,WP-018,Commissioning,261614.74,214362.96,0.0843,0.1329
